,NAME,Total_Pop,Hispanic_or_Latino,White_alone,Black_alone,Asian_alone,state,place,year
0,"Karnes City city, Texas",3118,2265,1836,179,9,48,38452,2013
1,"Kyle city, Texas",29396,13779,21671,2271,323,48,39952,2013
2,"Hamilton city, Texas",3054,439,2995,31,0,48,31952,2013
3,"Fort Hancock CDP, Texas",1646,1587,1605,0,0,48,26724,2013
4,"Kennard city, Texas",507,20,377,109,0,48,38884,2013
5,"Longview city, Texas",81435,15367,57734,18257,1255,48,43888,2013
6,"White Oak city, Texas",6437,546,5879,245,20,48,78436,2013
7,"Brackettville city, Texas",2094,1661,1999,63,0,48,09868,2013
8,"Galveston city, Texas",48178,14697,34668,9093,1944,48,28068,2013
9,"La Presa CDP, Texas",177,177,177,0,0,48,41449,2013
10,"Ranchos Penitas West CDP, Texas",851,851,851,0,0,48,60539,2013
11,"Caldwell city, Texas",4150,879,3208,653,72,48,11836,2013
12,"Bishop Hills town, Texas",280,34,270,0,0,48,08398,2013
13,"Bandera city, Texas",1234,191,1134,11,50,48,05528,2013
14,"Lakehills CDP, Texas",5817,1068,5455,89,34,48,40576,2013
15,"Miami city, Texas",686,18,674,0,6,48,47988,2013
16,"Hemphill city, Texas",1382,127,1175,180,0,48,33188,2013
17,"Pineland city, Texas",1317,212,1091,208,0,48,57644,2013
18,"Cinco Ranch CDP, Texas",17863,2664,13462,979,2155,48,14929,2013
19,"Jersey Village city, Texas",7694,1277,5646,887,638,48,37612,2013
20,"Southside Place city, Texas",1736,178,1421,20,246,48,69272,2013
21,"Coyote Acres CDP, Texas",427,414,390,0,0,48,17426,2013
22,"Knox City town, Texas",1155,395,1033,31,0,48,39700,2013
23,"Paint Rock town, Texas",232,65,227,0,0,48,54636,2013
24,"Clarendon city, Texas",1977,132,1769,161,22,48,15112,2013
25,"Putnam town, Texas",39,0,39,0,0,48,59984,2013
26,"Guerra CDP, Texas",0,0,0,0,0,48,31484,2013
27,"Ingram city, Texas",2261,535,2141,0,2,48,36032,2013
28,"Moore CDP, Texas",231,139,117,0,0,48,49224,2013
29,"Milam CDP, Texas",1502,19,1382,101,0,48,48324,2013
30,"Happy town, Texas",833,304,789,2,0,48,32156,2013
31,"Buffalo Gap town, Texas",448,24,434,8,0,48,11128,2013
32,"Potosi CDP, Texas",3312,396,3112,3,13,48,59108,2013
33,"Alto town, Texas",1365,103,755,563,36,48,02188,2013
34,"Ranger city, Texas",2921,812,2552,129,7,48,60632,2013
35,"Comfort CDP, Texas",2714,1348,2702,0,0,48,16228,2013
36,"Joaquin city, Texas",720,37,576,136,0,48,37684,2013
37,"Refugio town, Texas",2872,1567,2367,334,0,48,61436,2013
38,"Cantu Addition CDP, Texas",469,469,256,0,0,48,12502,2013
39,"Red Oak city, Texas",10898,2327,8132,2029,250,48,61196,2013
40,"Toyah town, Texas",227,152,227,0,0,48,73496,2013
41,"La Victoria CDP, Texas",47,47,47,0,0,48,41782,2013
