,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,median_home_value,state,county,TRACTCE,year,owner_renter_ratio
0,1400000US48029141101,22443,924,3041,83200.0,48,029,141101,2012,0.3038474186122986
1,1400000US48029141102,26309,1684,1827,74800.0,48,029,141102,2012,0.9217296113847838
2,1400000US48029141403,44809,2238,1318,81600.0,48,029,141403,2012,1.6980273141122912
3,1400000US48029141404,43309,3837,1059,90100.0,48,029,141404,2012,3.623229461756374
4,1400000US48029151301,35385,3964,2053,71300.0,48,029,151301,2012,1.930832927423283
5,1400000US48029151302,44274,1982,1329,75400.0,48,029,151302,2012,1.491346877351392
6,1400000US48029152201,54148,7649,975,69800.0,48,029,152201,2012,7.845128205128205
7,1400000US48029152202,55833,3275,1111,73400.0,48,029,152202,2012,2.947794779477948
8,1400000US48029160501,17809,1332,2966,49300.0,48,029,160501,2012,0.44908968307484826
9,1400000US48029160901,40750,1839,1323,68500.0,48,029,160901,2012,1.3900226757369614
10,1400000US48029160902,29626,2982,1915,62300.0,48,029,160902,2012,1.5571801566579635
11,1400000US48029161303,35212,3058,2042,64800.0,48,029,161303,2012,1.4975514201762978
12,1400000US48029161304,31649,2919,1676,58600.0,48,029,161304,2012,1.7416467780429594
13,1400000US48029161400,49034,0,1293,,48,029,161400,2012,0.0
14,1400000US48029160502,36300,2690,1676,73900.0,48,029,160502,2012,1.6050119331742243
15,1400000US48029161504,38056,2312,1879,78700.0,48,029,161504,2012,1.2304417243214476
16,1400000US48029161503,38680,2249,1740,75200.0,48,029,161503,2012,1.292528735632184
17,1400000US48029161801,58860,2887,821,117600.0,48,029,161801,2012,3.5164433617539586
18,1400000US48029161802,37220,4117,2802,112100.0,48,029,161802,2012,1.4693076374018559
19,1400000US48029161901,45968,847,496,98000.0,48,029,161901,2012,1.7076612903225807
20,1400000US48029161902,52228,5296,779,122500.0,48,029,161902,2012,6.798459563543004
21,1400000US48029162003,42394,4164,1137,90300.0,48,029,162003,2012,3.662269129287599
22,1400000US48029162004,36935,3355,660,67600.0,48,029,162004,2012,5.083333333333333
23,1400000US48029171301,25786,1718,963,58400.0,48,029,171301,2012,1.7840083073727933
24,1400000US48029171302,29239,2419,684,78800.0,48,029,171302,2012,3.5365497076023393
25,1400000US48029140800,34839,3567,1358,71000.0,48,029,140800,2012,2.626656848306333
26,1400000US48029150502,31970,3097,1229,62400.0,48,029,150502,2012,2.51993490642799
27,1400000US48029150700,24567,3066,3246,53200.0,48,029,150700,2012,0.944547134935305
28,1400000US48029160100,25237,3585,2129,57800.0,48,029,160100,2012,1.6838891498356037
29,1400000US48029170500,28750,2947,1479,75500.0,48,029,170500,2012,1.9925625422582827
30,1400000US48029180504,29413,2769,1633,76400.0,48,029,180504,2012,1.6956521739130435
31,1400000US48029120502,39134,2545,2465,82800.0,48,029,120502,2012,1.0324543610547667
32,1400000US48029120701,32754,2402,2390,104600.0,48,029,120701,2012,1.0050209205020921
33,1400000US48029121504,50000,4824,1956,116400.0,48,029,121504,2012,2.4662576687116564
34,1400000US48029150300,22374,2417,1669,56200.0,48,029,150300,2012,1.4481725584182146
35,1400000US48029160200,36875,1951,861,78100.0,48,029,160200,2012,2.2659698025551682
36,1400000US48029171903,41171,4266,2478,76600.0,48,029,171903,2012,1.721549636803874
37,1400000US48029180202,35457,2170,3188,105100.0,48,029,180202,2012,0.6806775407779172
38,1400000US48029180501,24524,2162,2188,97000.0,48,029,180501,2012,0.9881170018281535
39,1400000US48029180800,25346,512,2140,96800.0,48,029,180800,2012,0.23925233644859814
40,1400000US48029170800,15300,636,812,71000.0,48,029,170800,2012,0.7832512315270936
41,1400000US48029110600,16820,667,1917,59800.0,48,029,110600,2012,0.3479394887845592
42,1400000US48029110800,22964,429,960,78400.0,48,029,110800,2012,0.446875
43,1400000US48029120800,77244,5860,963,230300.0,48,029,120800,2012,6.085150571131879
44,1400000US48029121111,57819,4622,2130,104000.0,48,029,121111,2012,2.1699530516431924
45,1400000US48029120400,120909,4905,862,372300.0,48,029,120400,2012,5.690255220417633
46,1400000US48029160600,26864,3438,1862,51900.0,48,029,160600,2012,1.8464017185821697
47,1400000US48029141900,62183,4582,1509,106400.0,48,029,141900,2012,3.036447978793903
48,1400000US48029151500,26659,1410,869,81800.0,48,029,151500,2012,1.6225546605293442
49,1400000US48029160300,39674,4095,1663,75500.0,48,029,160300,2012,2.4624173180998197
50,1400000US48029161200,30786,1337,1577,66000.0,48,029,161200,2012,0.8478123018389346
51,1400000US48029161302,31834,2995,3169,73100.0,48,029,161302,2012,0.9450930893026191
52,1400000US48029170300,22394,3182,2238,55300.0,48,029,170300,2012,1.421805183199285
53,1400000US48029170402,24750,2476,1794,56600.0,48,029,170402,2012,1.3801560758082496
54,1400000US48029170600,35665,2403,1857,79000.0,48,029,170600,2012,1.2940226171243943
55,1400000US48029170700,29861,3170,1321,63500.0,48,029,170700,2012,2.399697199091597
56,1400000US48029121204,36081,2145,5340,106200.0,48,029,121204,2012,0.40168539325842695
57,1400000US48029121508,32900,2526,2466,89000.0,48,029,121508,2012,1.024330900243309
58,1400000US48029121601,38208,1585,3008,103700.0,48,029,121601,2012,0.5269281914893617
