,GEO_ID,B19013_001E,B25008_002E,B25008_003E,B25077_001E,state,county,tract,year
0,1400000US48029141101,22443,924,3041,83200,48,029,141101,2012
1,1400000US48029141102,26309,1684,1827,74800,48,029,141102,2012
2,1400000US48029141403,44809,2238,1318,81600,48,029,141403,2012
3,1400000US48029141404,43309,3837,1059,90100,48,029,141404,2012
4,1400000US48029151301,35385,3964,2053,71300,48,029,151301,2012
5,1400000US48029151302,44274,1982,1329,75400,48,029,151302,2012
6,1400000US48029152201,54148,7649,975,69800,48,029,152201,2012
7,1400000US48029152202,55833,3275,1111,73400,48,029,152202,2012
8,1400000US48029160501,17809,1332,2966,49300,48,029,160501,2012
9,1400000US48029160901,40750,1839,1323,68500,48,029,160901,2012
10,1400000US48029160902,29626,2982,1915,62300,48,029,160902,2012
11,1400000US48029161303,35212,3058,2042,64800,48,029,161303,2012
12,1400000US48029161304,31649,2919,1676,58600,48,029,161304,2012
13,1400000US48029161400,49034,0,1293,-666666666,48,029,161400,2012
14,1400000US48029160502,36300,2690,1676,73900,48,029,160502,2012
15,1400000US48029161504,38056,2312,1879,78700,48,029,161504,2012
16,1400000US48029161503,38680,2249,1740,75200,48,029,161503,2012
17,1400000US48029161801,58860,2887,821,117600,48,029,161801,2012
18,1400000US48029161802,37220,4117,2802,112100,48,029,161802,2012
19,1400000US48029161901,45968,847,496,98000,48,029,161901,2012
20,1400000US48029161902,52228,5296,779,122500,48,029,161902,2012
21,1400000US48029162003,42394,4164,1137,90300,48,029,162003,2012
22,1400000US48029162004,36935,3355,660,67600,48,029,162004,2012
23,1400000US48029171301,25786,1718,963,58400,48,029,171301,2012
24,1400000US48029171302,29239,2419,684,78800,48,029,171302,2012
25,1400000US48029140800,34839,3567,1358,71000,48,029,140800,2012
26,1400000US48029150502,31970,3097,1229,62400,48,029,150502,2012
27,1400000US48029150700,24567,3066,3246,53200,48,029,150700,2012
28,1400000US48029160100,25237,3585,2129,57800,48,029,160100,2012
29,1400000US48029170500,28750,2947,1479,75500,48,029,170500,2012
30,1400000US48029180504,29413,2769,1633,76400,48,029,180504,2012
31,1400000US48029120502,39134,2545,2465,82800,48,029,120502,2012
32,1400000US48029120701,32754,2402,2390,104600,48,029,120701,2012
33,1400000US48029121504,50000,4824,1956,116400,48,029,121504,2012
34,1400000US48029150300,22374,2417,1669,56200,48,029,150300,2012
35,1400000US48029160200,36875,1951,861,78100,48,029,160200,2012
36,1400000US48029171903,41171,4266,2478,76600,48,029,171903,2012
37,1400000US48029180202,35457,2170,3188,105100,48,029,180202,2012
38,1400000US48029180501,24524,2162,2188,97000,48,029,180501,2012
39,1400000US48029180800,25346,512,2140,96800,48,029,180800,2012
40,1400000US48029170800,15300,636,812,71000,48,029,170800,2012
41,1400000US48029110600,16820,667,1917,59800,48,029,110600,2012
42,1400000US48029110800,22964,429,960,78400,48,029,110800,2012
43,1400000US48029120800,77244,5860,963,230300,48,029,120800,2012
44,1400000US48029121111,57819,4622,2130,104000,48,029,121111,2012
45,1400000US48029120400,120909,4905,862,372300,48,029,120400,2012
46,1400000US48029160600,26864,3438,1862,51900,48,029,160600,2012
47,1400000US48029141900,62183,4582,1509,106400,48,029,141900,2012
48,1400000US48029151500,26659,1410,869,81800,48,029,151500,2012
49,1400000US48029160300,39674,4095,1663,75500,48,029,160300,2012
50,1400000US48029161200,30786,1337,1577,66000,48,029,161200,2012
51,1400000US48029161302,31834,2995,3169,73100,48,029,161302,2012
52,1400000US48029170300,22394,3182,2238,55300,48,029,170300,2012
53,1400000US48029170402,24750,2476,1794,56600,48,029,170402,2012
54,1400000US48029170600,35665,2403,1857,79000,48,029,170600,2012
55,1400000US48029170700,29861,3170,1321,63500,48,029,170700,2012
56,1400000US48029121204,36081,2145,5340,106200,48,029,121204,2012
57,1400000US48029121508,32900,2526,2466,89000,48,029,121508,2012
58,1400000US48029121601,38208,1585,3008,103700,48,029,121601,2012
59,1400000US48029121802,62943,6103,2811,123800,48,029,121802,2012
60,1400000US48029130300,32542,1441,1606,56600,48,029,130300,2012
61,1400000US48029130700,25680,895,907,47000,48,029,130700,2012
62,1400000US48029130900,23366,1788,2705,58500,48,029,130900,2012
63,1400000US48029131000,34276,3394,1601,73300,48,029,131000,2012
64,1400000US48029140500,39152,2829,1208,79000,48,029,140500,2012
65,1400000US48029190700,34601,1196,1564,120400,48,029,190700,2012
66,1400000US48029190902,55036,3244,551,109100,48,029,190902,2012
67,1400000US48029181001,43775,1673,1839,126500,48,029,181001,2012
68,1400000US48029181004,31224,446,4128,133000,48,029,181004,2012
69,1400000US48029182103,83950,1929,161,303000,48,029,182103,2012
70,1400000US48029190100,27067,1476,1608,82400,48,029,190100,2012
71,1400000US48029121116,44375,2828,2116,159200,48,029,121116,2012
72,1400000US48029121118,71261,3559,2482,201200,48,029,121118,2012
73,1400000US48029121203,31806,2398,1520,73900,48,029,121203,2012
74,1400000US48029121205,40203,1375,2514,101000,48,029,121205,2012
75,1400000US48029121206,54972,5608,2407,112400,48,029,121206,2012
76,1400000US48029121402,52023,3932,1409,92500,48,029,121402,2012
77,1400000US48029121803,59406,3835,1077,96400,48,029,121803,2012
78,1400000US48029121804,36493,3356,3336,103200,48,029,121804,2012
79,1400000US48029130800,23840,2331,3300,64600,48,029,130800,2012
80,1400000US48029131100,27988,1067,1462,61000,48,029,131100,2012
81,1400000US48029120300,105339,5759,1280,416200,48,029,120300,2012
82,1400000US48029120501,32484,4302,3060,89100,48,029,120501,2012
83,1400000US48029121115,79080,4364,932,175600,48,029,121115,2012
84,1400000US48029121117,57358,2286,2049,166900,48,029,121117,2012
85,1400000US48029130200,24432,618,1333,60700,48,029,130200,2012
86,1400000US48029141000,31357,1241,2034,60100,48,029,141000,2012
87,1400000US48029151600,43774,5122,2495,83200,48,029,151600,2012
88,1400000US48029151700,43467,5036,1480,82500,48,029,151700,2012
89,1400000US48029160701,32576,2631,511,66700,48,029,160701,2012
90,1400000US48029171801,30843,3067,1889,82600,48,029,171801,2012
91,1400000US48029180201,31618,2445,2109,75100,48,029,180201,2012
92,1400000US48029181200,74597,4014,629,184300,48,029,181200,2012
93,1400000US48029181301,52455,1283,2693,167500,48,029,181301,2012
94,1400000US48029181402,26707,216,1409,130700,48,029,181402,2012
95,1400000US48029131506,42381,2215,984,86800,48,029,131506,2012
96,1400000US48029131507,39471,3823,3170,74700,48,029,131507,2012
97,1400000US48029131608,52478,1833,2938,118200,48,029,131608,2012
98,1400000US48029131609,70336,6117,3127,120900,48,029,131609,2012
99,1400000US48029131610,61316,3667,1988,108800,48,029,131610,2012
100,1400000US48029131611,76674,1109,471,115300,48,029,131611,2012
101,1400000US48029140600,28412,1516,861,70200,48,029,140600,2012
102,1400000US48029140700,34856,2909,1622,78600,48,029,140700,2012
103,1400000US48029141300,47539,2981,2295,96900,48,029,141300,2012
104,1400000US48029141402,57411,3528,515,123300,48,029,141402,2012
105,1400000US48029110100,33491,229,1879,360500,48,029,110100,2012
106,1400000US48029120902,49787,1785,4871,298400,48,029,120902,2012
107,1400000US48029121403,35327,1958,3181,102300,48,029,121403,2012
108,1400000US48029121604,63002,4739,2839,122100,48,029,121604,2012
109,1400000US48029130600,18440,1909,3176,54900,48,029,130600,2012
110,1400000US48029140200,29674,2075,870,74800,48,029,140200,2012
111,1400000US48029181718,65200,3932,933,131500,48,029,181718,2012
112,1400000US48029181811,75150,3056,1104,159300,48,029,181811,2012
113,1400000US48029190200,36277,2520,1706,176200,48,029,190200,2012
114,1400000US48029190501,37993,1964,829,85900,48,029,190501,2012
115,1400000US48029171902,34129,3186,5893,133700,48,029,171902,2012
116,1400000US48029180400,24838,1245,2602,97800,48,029,180400,2012
117,1400000US48029180701,36645,1381,2324,262000,48,029,180701,2012
118,1400000US48029181100,58692,3637,2588,162000,48,029,181100,2012
119,1400000US48029191405,68222,5406,2515,194500,48,029,191405,2012
120,1400000US48029170900,17329,2285,1308,57600,48,029,170900,2012
121,1400000US48029180503,44191,3955,520,90000,48,029,180503,2012
122,1400000US48029180602,28667,1599,1001,123100,48,029,180602,2012
123,1400000US48029191102,62090,2082,523,260200,48,029,191102,2012
124,1400000US48029110900,14353,222,174,67000,48,029,110900,2012
125,1400000US48029111000,22157,582,949,69700,48,029,111000,2012
126,1400000US48029131612,55014,1744,178,132800,48,029,131612,2012
127,1400000US48029131613,58777,4609,697,127800,48,029,131613,2012
128,1400000US48029190800,106250,1804,318,635800,48,029,190800,2012
129,1400000US48029190901,35971,2518,2766,118400,48,029,190901,2012
130,1400000US48029150900,36693,4716,1035,70500,48,029,150900,2012
131,1400000US48029131614,58278,3194,758,133800,48,029,131614,2012
132,1400000US48029131615,55263,4441,2345,130400,48,029,131615,2012
133,1400000US48029131801,73510,2351,160,151800,48,029,131801,2012
134,1400000US48029131802,59032,4638,1092,141300,48,029,131802,2012
135,1400000US48029191411,62401,2068,2049,271600,48,029,191411,2012
136,1400000US48029191412,166429,1992,121,368700,48,029,191412,2012
137,1400000US48029191413,64932,3990,2270,219000,48,029,191413,2012
138,1400000US48029191503,77420,3477,1342,200000,48,029,191503,2012
139,1400000US48029191504,185250,2512,38,582400,48,029,191504,2012
140,1400000US48029191505,139405,2195,27,364700,48,029,191505,2012
141,1400000US48029191506,65483,2457,1893,272400,48,029,191506,2012
142,1400000US48029191701,124583,1569,36,351900,48,029,191701,2012
143,1400000US48029191806,129359,6994,1439,383000,48,029,191806,2012
144,1400000US48029191807,115417,2749,1020,649000,48,029,191807,2012
145,1400000US48029191808,109468,3006,585,307600,48,029,191808,2012
146,1400000US48029191809,103542,4862,814,282800,48,029,191809,2012
147,1400000US48029191810,80083,2923,2327,211600,48,029,191810,2012
148,1400000US48029191811,120093,3404,379,347800,48,029,191811,2012
149,1400000US48029191702,76296,4737,2442,249900,48,029,191702,2012
150,1400000US48029191812,185867,4475,43,374800,48,029,191812,2012
151,1400000US48029191813,105557,5322,1117,206300,48,029,191813,2012
152,1400000US48029191814,106167,3596,487,230900,48,029,191814,2012
153,1400000US48029191815,112250,4518,1058,265300,48,029,191815,2012
154,1400000US48029191816,66427,1531,880,345900,48,029,191816,2012
155,1400000US48029191817,75608,7367,2895,243500,48,029,191817,2012
156,1400000US48029191900,25531,2377,2266,70400,48,029,191900,2012
157,1400000US48029192000,30988,1005,2929,234300,48,029,192000,2012
158,1400000US48029192100,52045,1231,905,209600,48,029,192100,2012
159,1400000US48029192200,34423,411,1019,176100,48,029,192200,2012
160,1400000US48029192300,64130,2870,1565,291300,48,029,192300,2012
161,1400000US48029980001,-666666666,0,0,-666666666,48,029,980001,2012
162,1400000US48029980002,-666666666,0,0,-666666666,48,029,980002,2012
163,1400000US48029980003,44786,160,921,123100,48,029,980003,2012
164,1400000US48029980004,-666666666,0,0,-666666666,48,029,980004,2012
165,1400000US48029980005,-666666666,0,0,-666666666,48,029,980005,2012
166,1400000US48029121701,55224,2801,1229,130100,48,029,121701,2012
167,1400000US48029121119,57917,3382,1872,139400,48,029,121119,2012
168,1400000US48029121120,55625,3107,2429,122900,48,029,121120,2012
169,1400000US48029121121,92308,2719,144,183100,48,029,121121,2012
