,NAME,B03001_001E,B03003_003E,B02001_002E,B02001_003E,B02001_005E,state,place,year
0,"Oatfield CDP, Oregon",14189,628,13286,53,165,41,54325,2013
1,"Silverton city, Oregon",9263,740,8624,5,222,41,67650,2013
2,"Oak Hills CDP, Oregon",11533,427,8395,208,2263,41,53988,2013
3,"Tigard city, Oregon",49024,6212,40361,868,2930,41,73650,2013
4,"Damascus city, Oregon",10626,375,9680,38,410,41,17800,2013
5,"La Pine city, Oregon",1640,147,1513,0,8,41,41050,2013
6,"The Dalles city, Oregon",14730,2294,13318,47,63,41,72950,2013
7,"Silver Lake CDP, Oregon",29,0,29,0,0,41,67600,2013
8,"Stafford CDP, Oregon",1915,250,1740,0,154,41,69800,2013
9,"Summit CDP, Oregon",77,0,38,0,0,41,70870,2013
10,"Sunriver CDP, Oregon",1255,0,1240,0,0,41,71250,2013
11,"Takilma CDP, Oregon",290,0,275,0,0,41,72400,2013
12,"Tetherow CDP, Oregon",94,16,94,0,0,41,72820,2013
13,"Trail CDP, Oregon",444,98,444,0,0,41,74400,2013
14,"Tumalo CDP, Oregon",287,0,275,0,0,41,75050,2013
15,"Tualatin city, Oregon",26383,5123,22828,523,717,41,74950,2013
16,"Phoenix city, Oregon",4563,583,4114,10,13,41,57500,2013
17,"Rogue River city, Oregon",2114,270,2021,7,32,41,63450,2013
18,"Seaside city, Oregon",6455,619,5895,7,36,41,65950,2013
19,"Lyons city, Oregon",962,50,943,3,0,41,44300,2013
20,"Columbia City city, Oregon",2276,68,2228,0,12,41,14750,2013
21,"Antelope city, Oregon",10,0,10,0,0,41,02250,2013
22,"Shaniko city, Oregon",7,0,7,0,0,41,66700,2013
23,"Metolius city, Oregon",812,258,640,6,1,41,47750,2013
24,"Rowena CDP, Oregon",153,5,145,0,0,41,63950,2013
25,"Yoncalla city, Oregon",1114,56,1032,0,0,41,84600,2013
26,"Altamont CDP, Oregon",19355,1951,16998,167,169,41,01850,2013
27,"Summerville town, Oregon",100,0,100,0,0,41,70850,2013
28,"Ione city, Oregon",324,19,289,0,0,41,36400,2013
29,"Scappoose city, Oregon",6716,409,6177,0,153,41,65500,2013
30,"Millersburg city, Oregon",1787,293,1571,0,10,41,48300,2013
31,"Dayville town, Oregon",175,0,163,0,0,41,18300,2013
32,"Boardman city, Oregon",3271,2228,2773,0,0,41,07200,2013
33,"Condon city, Oregon",538,7,527,7,0,41,15000,2013
34,"Salem city, Oregon",156937,31512,126855,2192,4333,41,64900,2013
35,"Mount Angel city, Oregon",3364,918,2878,15,39,41,50150,2013
36,"Rivergrove city, Oregon",283,13,236,0,22,41,62250,2013
37,"Independence city, Oregon",8608,3219,7039,55,101,41,36150,2013
38,"Gearhart city, Oregon",1513,37,1469,12,14,41,28450,2013
39,"Prairie City city, Oregon",1142,18,1084,11,0,41,59650,2013
40,"McMinnville city, Oregon",32536,6857,26505,472,612,41,45000,2013
41,"Madras city, Oregon",6263,2114,3850,21,100,41,45250,2013
42,"Coburg city, Oregon",1008,16,891,26,25,41,14400,2013
43,"Brownsville city, Oregon",1605,66,1534,20,3,41,09050,2013
44,"Stayton city, Oregon",7690,1648,6829,45,20,41,70200,2013
45,"Aurora city, Oregon",895,69,832,23,0,41,03300,2013
46,"Bunker Hill CDP, Oregon",1232,18,1070,0,38,41,09600,2013
47,"Powers city, Oregon",925,56,785,0,12,41,59600,2013
48,"Lowell city, Oregon",961,7,917,0,5,41,44050,2013
49,"Springfield city, Oregon",59692,7353,52618,405,976,41,69600,2013
50,"Sodaville city, Oregon",443,7,396,0,2,41,68550,2013
51,"Waterloo town, Oregon",238,41,233,0,0,41,79050,2013
52,"Wallowa city, Oregon",877,10,828,0,0,41,78150,2013
53,"Mosier city, Oregon",559,100,494,3,2,41,50050,2013
54,"Wamic CDP, Oregon",22,0,22,0,0,41,78300,2013
55,"Lafayette city, Oregon",3733,913,3411,0,0,41,40300,2013
56,"Yamhill city, Oregon",1201,24,1174,0,18,41,84250,2013
57,"Adair Village city, Oregon",906,23,824,11,13,41,00275,2013
58,"Corvallis city, Oregon",54691,4124,46884,633,4336,41,15800,2013
59,"Glide CDP, Oregon",2083,171,1767,27,0,41,29750,2013
60,"Elkton city, Oregon",221,4,206,0,0,41,22800,2013
61,"Willamina city, Oregon",1677,19,1516,0,0,41,82350,2013
62,"Gladstone city, Oregon",11602,871,10291,251,324,41,29000,2013
63,"Canyonville city, Oregon",2175,86,1852,0,89,41,11000,2013
64,"Hebo CDP, Oregon",377,17,340,0,0,41,33100,2013
65,"Adams city, Oregon",383,13,359,0,1,41,00350,2013
66,"Warm Springs CDP, Oregon",3175,349,273,14,10,41,78600,2013
67,"Stanfield city, Oregon",2001,622,1556,0,6,41,69900,2013
68,"Sheridan city, Oregon",6074,893,5051,281,44,41,67050,2013
69,"Cove city, Oregon",516,0,466,0,12,41,16250,2013
70,"Monroe city, Oregon",688,76,591,0,0,41,49600,2013
71,"Culver city, Oregon",1975,811,1283,18,2,41,17300,2013
72,"Greenhorn city, Oregon",0,0,0,0,0,41,31050,2013
73,"John Day city, Oregon",1841,49,1752,9,4,41,37550,2013
74,"Long Creek city, Oregon",193,0,183,0,0,41,43550,2013
75,"Cottage Grove city, Oregon",9734,732,8736,19,53,41,15950,2013
76,"Creswell city, Oregon",5024,305,4629,0,50,41,16950,2013
77,"Junction City city, Oregon",5505,502,5098,13,56,41,38000,2013
78,"Westfir city, Oregon",283,5,275,0,0,41,79950,2013
79,"Halsey city, Oregon",1100,109,1025,0,0,41,31750,2013
80,"Aumsville city, Oregon",3674,359,3406,0,29,41,03250,2013
81,"Brooks CDP, Oregon",833,137,670,0,0,41,08750,2013
82,"Detroit city, Oregon",145,15,131,0,0,41,19100,2013
83,"Marion CDP, Oregon",312,0,302,0,10,41,45900,2013
84,"Richland city, Oregon",116,0,107,0,0,41,61700,2013
85,"Unity city, Oregon",41,0,41,0,0,41,76250,2013
86,"Gold Hill city, Oregon",1059,31,1012,2,7,41,29950,2013
87,"Wasco city, Oregon",471,25,452,0,0,41,78950,2013
88,"Tangent city, Oregon",1147,113,1060,10,0,41,72600,2013
89,"Forest Grove city, Oregon",21593,4766,18257,156,248,41,26200,2013
90,"Hayesville CDP, Oregon",18747,7927,12225,212,861,41,32850,2013
91,"Parkdale CDP, Oregon",463,231,463,0,0,41,56500,2013
92,"Medford city, Oregon",75902,10389,68776,629,995,41,47000,2013
93,"Imbler city, Oregon",249,6,229,0,0,41,36050,2013
94,"Tygh Valley CDP, Oregon",142,0,135,3,0,41,75500,2013
95,"Amity city, Oregon",1584,230,1308,13,11,41,02000,2013
96,"Klamath Falls city, Oregon",21026,2811,17864,218,427,41,39700,2013
97,"Port Orford city, Oregon",1229,52,1199,0,4,41,59250,2013
98,"Nyssa city, Oregon",3231,1836,2584,42,20,41,53750,2013
99,"Mount Vernon city, Oregon",787,10,763,0,0,41,50250,2013
100,"North Powder city, Oregon",478,26,428,0,4,41,53300,2013
101,"Winston city, Oregon",5359,219,5021,0,80,41,83400,2013
102,"Clatskanie city, Oregon",1756,163,1571,0,0,41,13750,2013
103,"Depoe Bay city, Oregon",1384,78,1345,0,0,41,18850,2013
104,"Prineville city, Oregon",9241,933,8637,3,38,41,59850,2013
105,"Irrigon city, Oregon",2081,798,1875,4,16,41,36500,2013
106,"Cape Meares CDP, Oregon",136,0,136,0,0,41,11050,2013
107,"Netarts CDP, Oregon",963,110,904,0,17,41,52050,2013
