,NAME,B19013_001E,state,place,year
0,"Karnes City city, Texas",32656,48,38452,2013
1,"Kyle city, Texas",75262,48,39952,2013
2,"Hamilton city, Texas",32639,48,31952,2013
3,"Fort Hancock CDP, Texas",19083,48,26724,2013
4,"Kennard city, Texas",30104,48,38884,2013
5,"Longview city, Texas",43466,48,43888,2013
6,"White Oak city, Texas",58028,48,78436,2013
7,"Brackettville city, Texas",29904,48,09868,2013
8,"Galveston city, Texas",38998,48,28068,2013
9,"La Presa CDP, Texas",30398,48,41449,2013
10,"Ranchos Penitas West CDP, Texas",37656,48,60539,2013
11,"Caldwell city, Texas",42485,48,11836,2013
12,"Bishop Hills town, Texas",98250,48,08398,2013
13,"Bandera city, Texas",35000,48,05528,2013
14,"Lakehills CDP, Texas",50761,48,40576,2013
15,"Miami city, Texas",60625,48,47988,2013
16,"Hemphill city, Texas",26176,48,33188,2013
17,"Pineland city, Texas",34353,48,57644,2013
18,"Cinco Ranch CDP, Texas",137556,48,14929,2013
19,"Jersey Village city, Texas",66591,48,37612,2013
20,"Southside Place city, Texas",145833,48,69272,2013
21,"Coyote Acres CDP, Texas",41444,48,17426,2013
22,"Knox City town, Texas",39583,48,39700,2013
23,"Paint Rock town, Texas",40417,48,54636,2013
24,"Clarendon city, Texas",37171,48,15112,2013
25,"Putnam town, Texas",31875,48,59984,2013
26,"Guerra CDP, Texas",-666666666,48,31484,2013
27,"Ingram city, Texas",40592,48,36032,2013
28,"Moore CDP, Texas",36250,48,49224,2013
29,"Milam CDP, Texas",32500,48,48324,2013
30,"Happy town, Texas",48036,48,32156,2013
31,"Buffalo Gap town, Texas",45938,48,11128,2013
32,"Potosi CDP, Texas",70865,48,59108,2013
33,"Alto town, Texas",22955,48,02188,2013
34,"Ranger city, Texas",28871,48,60632,2013
35,"Comfort CDP, Texas",37788,48,16228,2013
36,"Joaquin city, Texas",24688,48,37684,2013
37,"Refugio town, Texas",36737,48,61436,2013
38,"Cantu Addition CDP, Texas",21150,48,12502,2013
39,"Red Oak city, Texas",64992,48,61196,2013
40,"Toyah town, Texas",14583,48,73496,2013
41,"La Victoria CDP, Texas",-666666666,48,41782,2013
42,"Hedley city, Texas",52656,48,33044,2013
43,"Rockport city, Texas",52820,48,62804,2013
44,"Beaumont city, Texas",39526,48,07000,2013
45,"Waco city, Texas",32650,48,76000,2013
46,"Winnsboro city, Texas",41105,48,79816,2013
47,"Serenada CDP, Texas",93704,48,66806,2013
48,"Falcon Heights CDP, Texas",-666666666,48,25344,2013
49,"La Rosita CDP, Texas",-666666666,48,41503,2013
50,"Rule town, Texas",33958,48,63752,2013
51,"Celeste city, Texas",40625,48,13672,2013
52,"Glenn Heights city, Texas",54403,48,29840,2013
53,"Rising Star town, Texas",29773,48,62252,2013
54,"Lake Kiowa CDP, Texas",77792,48,40624,2013
55,"Lexington town, Texas",39851,48,42532,2013
56,"Stinnett city, Texas",51685,48,70340,2013
57,"Runaway Bay city, Texas",78893,48,63782,2013
58,"Farwell city, Texas",41736,48,25548,2013
59,"Zavalla city, Texas",33281,48,80728,2013
60,"Elbert CDP, Texas",38250,48,22840,2013
61,"San Isidro CDP, Texas",40694,48,65432,2013
62,"Los Indios town, Texas",23750,48,44128,2013
63,"Tatum city, Texas",34375,48,71924,2013
64,"El Refugio CDP, Texas",23029,48,24018,2013
65,"Falcon Village CDP, Texas",37188,48,25356,2013
66,"Roma city, Texas",19900,48,63020,2013
67,"Red Lick city, Texas",75729,48,61172,2013
68,"Wake Village city, Texas",47975,48,76096,2013
69,"Barrett CDP, Texas",29836,48,05696,2013
70,"Bunker Hill Village city, Texas",250001,48,11300,2013
71,"San Ygnacio CDP, Texas",29000,48,65792,2013
72,"Kermit city, Texas",49041,48,39004,2013
73,"Sanderson CDP, Texas",39271,48,65084,2013
74,"Doyle CDP, Texas",-666666666,48,21283,2013
75,"Reklaw city, Texas",42045,48,61508,2013
76,"Cushing city, Texas",50000,48,18224,2013
77,"Dickinson city, Texas",66686,48,20344,2013
78,"Pearsall city, Texas",31564,48,56384,2013
79,"Evant town, Texas",39306,48,24864,2013
80,"Andrews city, Texas",53833,48,03216,2013
81,"Groom town, Texas",54102,48,31292,2013
82,"Skellytown town, Texas",39063,48,68120,2013
83,"Wells town, Texas",26379,48,77176,2013
84,"Bartlett city, Texas",36500,48,05732,2013
85,"Granger city, Texas",43191,48,30548,2013
86,"Taylor city, Texas",44158,48,71948,2013
87,"Cibolo city, Texas",87218,48,14920,2013
88,"St. Hedwig town, Texas",72679,48,64172,2013
89,"Scenic Oaks CDP, Texas",129930,48,66089,2013
90,"Mount Enterprise city, Texas",30227,48,49728,2013
91,"Amherst city, Texas",34423,48,03084,2013
92,"Megargel town, Texas",40481,48,47460,2013
93,"Flowella CDP, Texas",27083,48,26220,2013
94,"La Ward city, Texas",44688,48,41848,2013
