,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,state,county,TRACTCE,year
0,1400000US48029110100,42823,159,3140,48,029,110100,2023
1,1400000US48029110300,54609,1134,1567,48,029,110300,2023
2,1400000US48029110500,21146,378,2165,48,029,110500,2023
3,1400000US48029110600,20835,542,2000,48,029,110600,2023
4,1400000US48029110700,26806,358,592,48,029,110700,2023
5,1400000US48029111000,56792,516,1592,48,029,111000,2023
6,1400000US48029111100,78719,570,2916,48,029,111100,2023
7,1400000US48029120100,100096,16,3591,48,029,120100,2023
8,1400000US48029120301,98393,2397,897,48,029,120301,2023
9,1400000US48029120302,229107,3371,655,48,029,120302,2023
10,1400000US48029120401,85795,1996,663,48,029,120401,2023
11,1400000US48029120402,250001,2879,260,48,029,120402,2023
12,1400000US48029120502,51786,2579,2751,48,029,120502,2023
13,1400000US48029120503,41638,948,2681,48,029,120503,2023
14,1400000US48029120504,57612,3934,2107,48,029,120504,2023
15,1400000US48029120601,60385,750,1848,48,029,120601,2023
16,1400000US48029120602,79366,1861,2040,48,029,120602,2023
17,1400000US48029120701,64599,2265,2950,48,029,120701,2023
18,1400000US48029120702,83029,2261,2568,48,029,120702,2023
19,1400000US48029120800,132477,5883,1173,48,029,120800,2023
20,1400000US48029120901,62321,1215,1104,48,029,120901,2023
21,1400000US48029120902,62101,1624,5048,48,029,120902,2023
22,1400000US48029121000,60425,5084,2041,48,029,121000,2023
23,1400000US48029121110,84048,3804,1409,48,029,121110,2023
24,1400000US48029121111,81231,5210,1623,48,029,121111,2023
25,1400000US48029121112,54609,1428,2781,48,029,121112,2023
26,1400000US48029121115,94034,3547,1242,48,029,121115,2023
27,1400000US48029121116,70672,2364,2565,48,029,121116,2023
28,1400000US48029121117,78750,2426,2137,48,029,121117,2023
29,1400000US48029121118,72692,3184,2521,48,029,121118,2023
30,1400000US48029121119,82434,3404,1764,48,029,121119,2023
31,1400000US48029121120,77917,3019,1757,48,029,121120,2023
32,1400000US48029121121,119708,3163,18,48,029,121121,2023
33,1400000US48029121122,112616,4638,517,48,029,121122,2023
34,1400000US48029121123,72815,2200,3114,48,029,121123,2023
35,1400000US48029121124,121944,2188,179,48,029,121124,2023
36,1400000US48029121203,47857,2074,2356,48,029,121203,2023
37,1400000US48029121204,47886,2076,6049,48,029,121204,2023
38,1400000US48029121205,60131,1688,2126,48,029,121205,2023
39,1400000US48029121206,66023,5875,1609,48,029,121206,2023
40,1400000US48029121300,82083,4672,1202,48,029,121300,2023
41,1400000US48029121402,79770,7592,2871,48,029,121402,2023
42,1400000US48029121403,52193,2978,2161,48,029,121403,2023
43,1400000US48029121404,35750,2682,3040,48,029,121404,2023
44,1400000US48029121501,88931,6731,2775,48,029,121501,2023
45,1400000US48029121504,72837,6140,2131,48,029,121504,2023
46,1400000US48029121505,71861,4097,1263,48,029,121505,2023
47,1400000US48029121506,62083,2363,2373,48,029,121506,2023
48,1400000US48029121507,75991,3863,1355,48,029,121507,2023
49,1400000US48029121508,57619,2250,2117,48,029,121508,2023
50,1400000US48029121601,56329,1464,2667,48,029,121601,2023
51,1400000US48029121604,103000,7537,2005,48,029,121604,2023
52,1400000US48029121605,75956,1528,687,48,029,121605,2023
53,1400000US48029121606,61917,2213,1578,48,029,121606,2023
54,1400000US48029121701,76351,2759,2061,48,029,121701,2023
55,1400000US48029121702,84110,4614,2821,48,029,121702,2023
